Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,AIC_Optimized_Space,3,Neural_Network_MLP,0.9438,0.4587,0.6667,0.5198
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,BIC_Optimized_Space,2,XGBoost_Classifier,0.9438,0.4587,0.6667,0.5198
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,BIC_Optimized_Space,2,Support_Vector_Classifier,0.9213,0.3106,0.3333,0.3216
6Months_to_12Months_Height_S1_S5_All_Data,6Months,12Months,Height,BIC_Optimized_Space,2,Neural_Network_MLP,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,Full_Feature_Space,2,XGBoost_Classifier,0.9326,0.4364,0.6626,0.4939
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,Full_Feature_Space,2,Support_Vector_Classifier,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,Full_Feature_Space,2,Neural_Network_MLP,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,AIC_Optimized_Space,1,XGBoost_Classifier,0.9101,0.3103,0.3293,0.3195
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,AIC_Optimized_Space,1,Support_Vector_Classifier,0.9326,0.4808,0.5,0.4901
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,AIC_Optimized_Space,1,Neural_Network_MLP,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,BIC_Optimized_Space,1,XGBoost_Classifier,0.9101,0.3103,0.3293,0.3195
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,BIC_Optimized_Space,1,Support_Vector_Classifier,0.9326,0.4808,0.5,0.4901
6Months_to_12Months_Height_S2_No_Zscores,6Months,12Months,Height,BIC_Optimized_Space,1,Neural_Network_MLP,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,Full_Feature_Space,8,XGBoost_Classifier,0.9326,0.4289,0.5,0.4587
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,Full_Feature_Space,8,Support_Vector_Classifier,0.9326,0.4364,0.6626,0.4939
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,Full_Feature_Space,8,Neural_Network_MLP,0.9326,0.4586,0.6626,0.5177
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,AIC_Optimized_Space,3,XGBoost_Classifier,0.9326,0.4289,0.5,0.4587
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,AIC_Optimized_Space,3,Support_Vector_Classifier,0.9438,0.4882,0.6667,0.5496
6Months_to_12Months_Height_S3_No_Base_Data,6Months,12Months,Height,AIC_Optimized_Space,3,Neural_Network_MLP,0.9438,0.4587,0.6667,0.5198
